kind,identifier,name,source,license,url,description,chromosome
Anatomy,UBERON:0001300,scrotum,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001300,,
Anatomy,UBERON:0001460,arm,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001460,,
Anatomy,UBERON:0002018,synovial membrane of synovial joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002018,,
Anatomy,UBERON:0002439,myenteric nerve plexus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002439,,
Anatomy,UBERON:0000992,female gonad,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000992,,
Anatomy,UBERON:0000473,testis,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000473,,
Anatomy,UBERON:0001716,secondary palate,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001716,,
Anatomy,UBERON:0002294,biliary system,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002294,,
Anatomy,UBERON:0002129,cerebellar cortex,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002129,,
Anatomy,UBERON:0001011,hemolymph,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001011,,
Anatomy,UBERON:0002360,meninx,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002360,,
Anatomy,UBERON:0001105,clavicle bone,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001105,,
Anatomy,UBERON:0001620,central retinal artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001620,,
Anatomy,UBERON:0001702,eyelash,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001702,,
Anatomy,UBERON:0002521,elastic tissue,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002521,,
Anatomy,UBERON:0003129,skull,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0003129,,
Anatomy,UBERON:0002282,stria vascularis of cochlear duct,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002282,,
Anatomy,UBERON:0001649,glossopharyngeal nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001649,,
Anatomy,UBERON:0002516,epiphyseal plate,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002516,,
Anatomy,UBERON:0002441,cervicothoracic ganglion,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002441,,
Anatomy,UBERON:0000982,skeletal joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000982,,
Anatomy,UBERON:0001815,lumbosacral nerve plexus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001815,,
Anatomy,UBERON:0002394,bile duct,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002394,,
Anatomy,UBERON:0001003,skin epidermis,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001003,,
Anatomy,UBERON:0002286,third ventricle,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002286,,
Anatomy,UBERON:0001685,hyoid bone,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001685,,
Anatomy,UBERON:0002066,umbilical vein,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002066,,
Anatomy,UBERON:0000988,pons,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000988,,
Anatomy,UBERON:0004727,cochlear nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0004727,,
Anatomy,UBERON:0002082,cardiac ventricle,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002082,,
Anatomy,UBERON:0002367,prostate gland,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002367,,
Anatomy,UBERON:0001486,hip joint,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001486,,
Anatomy,UBERON:0002148,locus ceruleus,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002148,,
Anatomy,UBERON:0001267,femoral nerve,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001267,,
Anatomy,UBERON:0001529,brachiocephalic artery,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0001529,,
Anatomy,UBERON:0000211,ligament,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000211,,
Anatomy,UBERON:0002466,intestine secretion,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002466,,
Anatomy,UBERON:0002944,spinothalamic tract of medulla,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0002944,,
Anatomy,UBERON:0000033,head,Uberon,CC BY 3.0,http://purl.obolibrary.org/obo/UBERON_0000033,,
